stock,date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cap,size
vvr,12-18-2020,-,-,-0.22,-,153.03M,2.58%,609.06M,-,-,-,-,0.51%,-,-,-,53.75%,-,9.64%,60.02M,10.15,-,-,-,15.70%,4.25,0.94,-,-,-,-7.66%,-,-,-,-,1.90 - 4.38,-7.23%,0.25,-,-,-,-9.13%,-,6.28%,-,-,-,109.47%,0.04,-,-,-32.80%,-,65.77,1.11% 0.85%,No,-,-,-,1.05,3.93,Yes,-,-,-,528.85K,3.98,1.00,1.52%,4.89%,12.44%,"553,857",1.27%,small,609060000.0
vvv,12-18-2020,-,13.72,1.69,0.20%,187.00M,-0.94%,4.26B,12.69,1.82,-15.07%,184.25M,0.52%,317.00M,1.58,0.37,93.20%,3.26%,21.41%,2.35B,1.81,56.70%,-1.57%,4.22,19.46%,-0.41,-,10.82%,11.30%,25.13,9.25%,4.13,5.60,8.70%,-181.90%,9.06 - 23.75,8.08%,0.50,31.07,11.50%,17.00%,-2.57%,1.42,2.16%,2.80,3.60%,36.70%,155.41%,0.44,8800,3.20,3.70%,20.60%,53.08,1.50% 1.80%,Yes,-,433.30%,13.50%,0.79,23.36,Yes,-,Oct 28 AMC,26.70%,1.42M,23.14,2.20,-0.40%,4.52%,19.47%,"1,124,393",-0.94%,large,4260000000.0
vxrt,12-18-2020,-,-,-0.35,0.10%,107.72M,-18.66%,647.23M,-,-0.31,-74.62%,97.97M,-25.36%,-24.80M,-,-0.08,37.50%,28.59%,-16.76%,7.60M,85.16,70.20%,68.73%,2.67,-22.52%,1.22,4.68,3.10%,-32.10%,-,1484.19%,1.18,4.85,-,-45.80%,0.30 - 17.49,1529.10%,-,-,32.00%,-126.00%,-67.35%,0.52,-,13.20,-16.70%,-,1790.73%,0.61,28,13.20,-40.00%,-,36.97,7.72% 7.65%,Yes,0.00,76.80%,-,0.53,5.98,Yes,0.00,-,-,10.49M,5.71,2.00,-21.29%,-8.68%,-2.43%,"5,565,717",-4.52%,small,647230000.0
vygg,12-18-2020,-,-,-,-,57.50M,-4.40%,599.15M,-,-,-,-,-0.76%,-,-,-,5.22%,-,-,-,-,-,-,0.46,-,-,-,-,-,-,-,-,-,-,-,9.63 - 11.11,5.79%,-,-,-,-,-6.21%,-,-,-,-,-,8.20%,0.41,-,-,-,-,-,4.41% 3.43%,No,-,-,-,0.15,10.53,Yes,-,-,-,251.28K,10.42,-,-0.88%,-0.09%,-0.09%,"37,959",-1.04%,small,599150000.0
vygr,12-18-2020,-,6.88,1.04,14.07%,37.24M,-15.28%,283.28M,-,-2.55,0.00%,31.68M,-12.80%,40.10M,-,-0.63,75.50%,4.84%,-33.80%,197.30M,1.44,55.90%,-5.48%,4.64,-44.57%,4.46,1.60,-431.20%,12.90%,-,-47.35%,5.05,1.42,-,38.00%,6.26 - 14.80,-48.75%,-,-,-12.10%,-51.90%,-51.69%,1.41,-,5.10,-,-,14.22%,0.49,185,5.10,477.50%,18.90%,32.34,6.63% 5.69%,Yes,0.00,656.40%,20.30%,1.11,7.28,Yes,0.00,Oct 29 BMO,0.00%,330.60K,7.15,2.20,-12.42%,-21.81%,-34.24%,"368,454",-1.79%,small,283280000.0
vyne,12-18-2020,-,-,-3.19,1.60%,167.74M,-13.19%,272.71M,-,-0.36,1.84%,138.21M,-5.39%,-253.90M,-,-0.13,49.60%,6.48%,-2.47%,16.70M,16.33,-30.30%,-4.73%,5.59,-6.51%,0.30,5.27,51.40%,-211.50%,-,-63.26%,0.42,3.74,-,-487.90%,1.00 - 7.48,-65.95%,-,-,-,-,-78.88%,-,-,3.90,-,94.90%,58.00%,0.09,180,4.20,-,-,39.30,6.06% 5.10%,No,0.67,35.90%,-,0.91,1.61,Yes,0.67,-,-,1.60M,1.58,2.00,-8.46%,-8.37%,-12.49%,"1,454,294",-1.86%,small,272710000.0
vz,12-18-2020,DJIA S&P500,13.29,4.42,0.03%,4.14B,-0.36%,243.61B,11.73,5.01,-0.78%,4.14B,-3.02%,18.31B,5.60,1.17,66.40%,0.81%,-1.18%,128.38B,1.90,23.80%,-1.78%,2.22,7.23%,15.72,3.74,3.22%,6.20%,61.84,-3.77%,2.17,27.12,2.37%,29.40%,48.84 - 61.95,-4.32%,2.51,21.15,14.00%,13.70%,-5.17%,0.41,4.27%,1.00,0.70%,59.50%,20.29%,0.70,133200,1.10,-4.10%,19.30%,40.79,1.10% 1.22%,Yes,1.78,-16.20%,14.30%,0.84,58.14,Yes,1.69,Oct 21 BMO,55.60%,15.06M,58.75,2.60,-2.32%,-1.28%,1.91%,"12,675,253",1.05%,large,243610000000.0
w,12-18-2020,-,-,-2.73,0.70%,95.37M,-12.35%,22.88B,92.20,2.45,-62.76%,67.75M,-9.03%,-171.30M,-,0.80,-,18.88%,-28.85%,13.01B,1.76,-90.10%,-0.78%,5.76,5.47%,-15.30,-,-45.89%,-4.60%,308.19,142.44%,25.23,8.95,30.00%,15.50%,21.70 - 349.08,149.87%,-,24.35,-29.30%,-182.70%,-35.31%,3.27,-,1.30,47.20%,24.20%,940.60%,13.20,16985,1.40,66.50%,-0.40%,36.70,5.42% 5.12%,Yes,-,153.90%,-1.30%,0.55,230.67,Yes,-,Nov 03 BMO,-,2.22M,225.81,2.50,-10.97%,-12.05%,2.39%,"1,224,584",-2.11%,large,22880000000.0
wab,12-18-2020,S&P 500,30.27,2.42,0.40%,189.80M,0.47%,13.85B,16.93,4.32,-44.09%,180.16M,1.24%,462.20M,4.15,1.01,93.60%,2.29%,20.53%,7.90B,1.75,-36.70%,1.80%,3.09,24.74%,52.78,1.39,12.81%,2.50%,77.60,-9.57%,2.96,24.76,7.30%,4.70%,35.07 - 81.50,-5.91%,0.48,21.57,-12.70%,3.80%,-10.18%,1.68,0.66%,0.70,21.90%,29.20%,108.73%,1.65,27500,1.20,-6.80%,10.20%,53.10,1.99% 2.01%,Yes,0.42,41.90%,5.90%,0.53,72.40,Yes,0.38,Oct 29 BMO,19.80%,1.34M,73.20,2.50,-0.90%,5.23%,17.76%,"711,625",1.10%,large,13850000000.0
wabc,12-18-2020,-,19.33,2.86,3.99%,26.93M,2.24%,1.48B,19.28,2.87,0.02%,25.80M,-0.65%,77.30M,6.44,0.74,77.80%,3.88%,2.83%,162.80M,9.11,11.30%,-1.12%,9.23,-1.65%,30.66,1.80,1.31%,1.30%,63.00,-18.25%,15.59,3.55,3.00%,10.10%,46.94 - 69.08,-18.42%,1.64,22.91,5.10%,18.00%,-19.96%,0.72,2.97%,-,2.50%,-,17.79%,1.23,737,-,4.30%,98.90%,53.86,1.89% 2.08%,Yes,0.00,-1.40%,47.50%,0.76,54.79,Yes,0.00,Jan 21,57.30%,108.51K,55.29,2.70,2.04%,0.54%,-3.39%,"82,830",0.91%,large,1480000000.0
wafd,12-18-2020,-,11.29,2.28,0.90%,75.70M,0.16%,1.96B,14.85,1.73,1.09%,74.86M,7.16%,173.40M,1.61,0.43,85.90%,1.54%,23.16%,621.30M,3.16,-13.50%,-0.99%,3.09,-0.58%,26.61,0.97,5.67%,1.00%,27.67,-29.46%,24.20,1.06,7.00%,8.60%,20.01 - 37.05,-29.77%,0.88,28.77,6.30%,21.00%,-30.53%,0.92,3.42%,-,3.20%,-,28.64%,0.72,2080,-,-13.20%,75.60%,57.35,2.58% 2.71%,Yes,0.00,-31.40%,27.90%,0.67,25.61,Yes,0.00,Jan 13 AMC,38.20%,372.37K,25.74,3.00,1.71%,6.92%,5.49%,"248,836",0.51%,large,1960000000.0
wafu,12-18-2020,-,-,-0.40,73.04%,4.38M,4.80%,17.06M,-,-,0.00%,1.18M,-9.45%,-1.70M,-,-,0.40%,0.31%,11.82%,5.60M,3.05,-82.20%,-28.74%,0.01,-19.80%,2.07,1.90,-,-15.50%,-,162.00%,1.57,2.51,-,-20.80%,1.20 - 15.39,162.00%,-,21.32,-,-19.60%,-74.46%,-,-,-,-,39.90%,227.50%,0.50,99,3.50,6.90%,-28.50%,47.07,23.39% 10.08%,No,0.00,-202.40%,-30.00%,0.18,3.99,Yes,0.00,-,-,383.65K,3.93,-,-3.10%,-5.70%,6.05%,"67,432",-1.50%,small,17060000.0
wal,12-18-2020,-,13.72,4.37,0.50%,99.85M,-0.96%,6.11B,11.92,5.03,-29.80%,97.42M,14.52%,441.10M,1.72,1.31,85.70%,1.96%,87.81%,1.25B,4.90,17.00%,-1.33%,2.36,69.69%,32.29,1.86,13.09%,1.50%,58.08,3.81%,18.65,3.21,8.00%,14.30%,20.90 - 61.23,5.18%,1.00,12.76,23.40%,26.90%,-2.09%,1.69,1.67%,-,24.10%,-,186.84%,1.54,1835,-,-3.40%,77.20%,64.81,2.03% 2.54%,Yes,0.20,9.10%,35.40%,0.47,60.03,Yes,0.20,Oct 22 AMC,22.80%,810.37K,59.95,1.90,3.15%,15.93%,53.31%,"377,587",-0.13%,large,6110000000.0
wash,12-18-2020,-,11.67,3.84,0.10%,17.26M,0.92%,775.04M,13.19,3.40,0.00%,16.91M,12.08%,66.70M,2.33,0.97,71.50%,2.08%,45.74%,177.90M,4.36,0.90%,-2.80%,5.12,41.50%,30.57,1.47,-13.43%,1.20%,45.00,-16.21%,14.42,3.11,5.00%,12.90%,25.86 - 54.01,-16.71%,2.08,45.59,10.40%,21.40%,-17.05%,0.72,4.64%,-,10.30%,-,73.24%,1.36,598,-,-17.60%,65.50%,58.71,2.95% 2.89%,Yes,0.24,-2.10%,37.50%,0.81,45.53,Yes,0.24,Oct 19 AMC,52.90%,68.56K,44.80,2.60,1.04%,12.17%,29.11%,"55,778",-1.60%,small,775040000.0
wat,12-18-2020,S&P 500,30.93,8.00,0.30%,62.00M,0.45%,15.30B,26.75,9.25,-34.56%,61.69M,5.65%,503.90M,6.31,2.87,92.50%,3.09%,26.44%,2.30B,6.67,12.70%,-2.41%,4.71,36.83%,-0.67,-,11.61%,19.10%,222.29,5.26%,6.42,38.55,4.90%,-255.90%,154.39 - 252.67,5.89%,-,28.56,11.30%,42.30%,-2.08%,0.87,-,1.30,3.90%,57.10%,60.26%,4.63,7500,1.80,2.90%,26.90%,63.71,1.42% 1.79%,Yes,-,-1.60%,22.00%,0.73,245.56,Yes,-,Oct 27 BMO,0.00%,405.52K,247.42,3.20,1.90%,6.67%,19.94%,"295,548",0.76%,large,15300000000.0
watt,12-18-2020,-,-,-0.92,2.90%,41.86M,-29.13%,98.82M,-,-0.37,-6.11%,41.76M,-3.74%,-33.80M,-,-0.13,12.90%,4.35%,-37.50%,0.30M,329.40,36.40%,22.38%,0.65,-36.62%,0.45,4.00,40.00%,-139.20%,-,-9.09%,0.32,5.71,-,-173.40%,0.61 - 4.58,1.69%,-,-,26.10%,-204.30%,-60.70%,3.72,-,6.40,-,55.30%,195.08%,0.21,51,6.40,51.90%,-,44.79,13.25% 8.90%,Yes,0.00,32.20%,-,1.40,1.99,Yes,0.00,Nov 09 AMC,-,2.79M,1.80,1.50,-3.61%,-12.87%,-24.91%,"3,911,872",-9.55%,small,98820000.0
wb,12-18-2020,-,19.29,2.13,7.22%,226.68M,-9.83%,9.52B,15.96,2.57,0.00%,13.90M,-1.94%,491.80M,13.27,0.60,42.20%,69.15%,10.78%,1.65B,5.78,-11.10%,1.50%,7.53,21.56%,11.18,3.67,25.39%,10.20%,42.38,-19.72%,10.03,4.09,1.45%,21.30%,28.93 - 52.33,-11.56%,-,-,52.50%,6.00%,-21.67%,1.32,-,4.90,39.50%,81.70%,41.69%,1.97,4126,4.90,-10.30%,21.60%,44.31,7.49% 4.58%,Yes,0.67,86.30%,29.90%,1.25,41.02,Yes,0.67,Dec 28 BMO,0.00%,1.28M,40.99,2.30,-3.62%,-4.52%,10.49%,"1,597,883",-0.07%,large,9520000000.0
wba,12-18-2020,DJIA S&P500,80.73,0.49,0.30%,866.50M,0.03%,34.67B,7.69,5.19,-0.19%,714.91M,3.69%,456.00M,11.55,1.03,58.80%,2.37%,11.18%,139.54B,0.25,-88.00%,-0.38%,2.18,-5.00%,23.82,1.67,8.02%,0.50%,39.67,-32.50%,1.45,27.52,6.99%,2.10%,33.36 - 59.78,-32.36%,1.87,14.67,-33.60%,2.40%,-33.29%,0.53,4.69%,0.30,6.20%,20.10%,19.54%,1.06,223000,0.70,2.30%,0.90%,49.01,2.34% 2.84%,Yes,0.81,-42.80%,0.30%,0.99,39.34,Yes,0.64,Jan 07 BMO,368.30%,7.76M,39.88,3.10,-2.51%,1.54%,-1.23%,"7,684,761",1.37%,large,34670000000.0
wbai,12-18-2020,-,-,-1.75,20.86%,43.00M,111.76%,392.31M,-,-,0.00%,21.27M,229.67%,-75.20M,-,-,9.00%,10.50%,205.08%,2.70M,145.30,-37.20%,-1.88%,2.37,105.01%,2.11,4.27,-,-81.30%,-,4.65%,1.15,7.80,15.75%,-74.20%,2.51 - 8.71,4.65%,-,-,-40.40%,-89.90%,3.33%,1.18,-,5.80,-41.50%,-28.20%,258.57%,0.82,171,5.80,-37.80%,-,94.60,25.01% 14.97%,Yes,0.00,54.10%,-,5.65,7.61,Yes,0.00,Nov 20 AMC,-,943.73K,9.00,-,155.36%,187.06%,154.24%,"5,333,554",18.27%,small,392310000.0
wbk,12-18-2020,-,30.85,0.48,0.10%,3.61B,-0.40%,53.86B,12.88,1.16,0.00%,3.49B,-1.06%,1.73B,14.02,-,0.50%,0.02%,23.24%,20.48B,2.63,-66.40%,3.55%,3.66,15.59%,14.28,1.04,11.68%,0.20%,19.74,-12.25%,21.87,0.68,2.20%,3.50%,7.98 - 17.29,-12.25%,0.79,1.27,-23.80%,5.10%,-13.82%,1.05,5.30%,-,-3.50%,-,86.72%,0.22,36849,-,-25.00%,58.80%,53.29,1.03% 1.17%,No,0.00,-72.30%,8.50%,0.56,14.96,Yes,2.56,-,186.10%,152.47K,14.90,1.00,-0.88%,4.78%,21.32%,"85,515",-0.40%,large,53860000000.0
wbs,12-18-2020,-,15.79,2.67,0.99%,89.63M,-1.63%,3.82B,13.76,3.06,0.00%,89.31M,8.38%,241.80M,0.81,0.71,88.60%,2.02%,59.72%,1.05B,3.65,9.90%,-1.03%,3.39,56.98%,34.30,1.23,26.78%,0.60%,42.25,-21.01%,3.65,11.54,19.40%,6.20%,18.16 - 53.71,-21.01%,1.60,-,14.30%,22.60%,-21.52%,1.62,3.80%,-,9.90%,-,132.10%,1.23,3298,-,-18.70%,86.40%,59.19,2.23% 2.79%,Yes,0.18,-25.10%,17.90%,0.57,42.12,Yes,0.18,Oct 22 BMO,75.70%,531.96K,42.15,2.20,1.60%,11.34%,43.38%,"304,940",0.07%,large,3820000000.0
wbt,12-18-2020,-,-,-0.07,0.30%,141.51M,6.11%,1.89B,42.31,0.31,0.00%,140.82M,36.22%,-9.20M,-,0.03,86.00%,4.70%,115.69%,1.22B,1.56,-18.10%,0.00%,3.63,129.97%,1.65,8.00,660.98%,-0.40%,10.81,-14.23%,-,-,-9.70%,-4.00%,3.17 - 15.78,-15.44%,-,-,-19.60%,9.30%,-16.35%,2.35,-,1.20,0.20%,34.90%,316.40%,0.54,5100,1.90,-27.30%,4.90%,72.97,3.95% 4.81%,Yes,6.21,-75.60%,-0.80%,1.10,13.10,Yes,6.20,Nov 03 BMO,-,1.82M,13.20,2.10,13.13%,39.61%,91.49%,"1,999,210",0.76%,large,1890000000.0
wcc,12-18-2020,-,30.82,2.55,0.50%,50.04M,3.34%,3.89B,11.74,6.69,391.03%,37.07M,18.29%,117.90M,3.08,1.38,98.80%,5.61%,75.73%,10.30B,0.38,8.70%,-3.99%,4.00,143.94%,64.36,1.22,24.87%,1.40%,78.45,33.32%,7.11,11.05,10.00%,4.40%,13.52 - 78.95,32.18%,-,8.27,-0.10%,8.00%,-0.57%,2.46,-,1.30,1.20%,18.90%,480.84%,2.15,9500,2.20,92.80%,3.30%,75.36,2.11% 2.85%,Yes,1.52,-13.90%,1.10%,0.59,78.36,Yes,1.51,Nov 05 BMO,0.00%,520.69K,78.50,2.10,6.20%,26.45%,83.86%,"307,249",0.18%,large,3890000000.0
wcn,12-18-2020,-,131.33,0.78,1.00%,263.00M,1.32%,26.91B,34.82,2.95,-2.45%,262.33M,-0.62%,207.30M,15.43,0.63,70.30%,0.49%,-0.42%,5.41B,4.97,3.60%,3.19%,1.67,11.02%,25.33,4.05,13.35%,1.50%,116.93,11.82%,3.27,31.32,8.51%,3.10%,70.87 - 111.04,12.97%,0.82,21.03,7.00%,6.20%,-7.63%,0.52,0.80%,1.40,21.80%,40.00%,44.73%,1.53,18204,1.40,-1.60%,7.60%,50.71,1.11% 1.55%,Yes,0.71,-0.30%,3.80%,0.87,101.84,Yes,0.70,Oct 28 AMC,91.10%,774.47K,102.57,1.90,0.72%,-0.64%,6.32%,"677,150",0.72%,large,26910000000.0
wd,12-18-2020,-,14.26,6.45,6.50%,30.56M,-1.77%,2.91B,13.42,6.86,-5.73%,28.66M,13.86%,199.60M,1.43,1.34,79.30%,2.24%,67.98%,951.20M,3.06,9.70%,-2.39%,3.06,87.49%,36.49,2.52,9.80%,5.30%,87.00,42.29%,9.34,9.85,10.00%,18.70%,24.55 - 94.50,42.27%,1.44,-,28.10%,7.60%,-2.62%,1.31,1.56%,-,17.80%,-,274.83%,2.93,823,-,16.30%,28.50%,65.35,2.98% 3.44%,Yes,3.29,19.90%,21.00%,0.48,91.00,Yes,3.25,Oct 29 BMO,21.00%,209.26K,92.02,1.70,5.60%,18.35%,67.49%,"100,538",1.12%,large,2910000000.0
wday,12-18-2020,-,-,-1.46,0.70%,238.06M,-3.68%,57.51B,82.62,2.90,-49.44%,178.08M,6.16%,-338.70M,-,0.55,92.60%,3.88%,8.66%,4.16B,13.82,-9.70%,1.61%,3.38,27.15%,12.93,18.53,7.69%,-4.60%,248.73,43.08%,12.28,19.51,21.39%,-12.30%,107.75 - 259.01,45.70%,-,57.35,-9.40%,-13.30%,-7.49%,1.48,-,1.10,35.70%,71.90%,122.38%,7.62,12400,1.10,17.90%,-7.70%,56.09,2.69% 3.11%,Yes,0.58,79.80%,-8.10%,0.65,236.93,Yes,0.23,Nov 19 AMC,-,2.05M,239.61,2.10,3.04%,6.88%,25.14%,"1,329,446",1.13%,large,57510000000.0
wdc,12-18-2020,S&P 500,-,-0.11,0.40%,303.00M,10.94%,16.86B,9.13,6.07,0.00%,302.64M,17.18%,-34.00M,-,0.53,79.40%,2.63%,52.46%,16.62B,1.01,61.40%,-0.70%,1.61,30.51%,31.60,1.75,117.19%,-0.10%,53.67,-15.59%,-,-,-,-0.40%,27.40 - 72.00,-12.73%,-,-,-16.40%,0.70%,-23.07%,1.67,-,1.30,2.80%,23.50%,102.15%,2.05,63800,2.00,-2.90%,3.20%,67.83,5.25% 3.68%,Yes,0.98,78.80%,-0.20%,3.12,49.53,Yes,0.95,Oct 28 AMC,-,4.95M,55.39,2.20,8.68%,22.25%,32.63%,"15,451,552",11.83%,large,16860000000.0
wdfc,12-18-2020,-,60.31,4.41,1.60%,13.66M,1.58%,3.64B,49.75,5.34,-3.47%,13.43M,3.70%,60.40M,6.03,1.03,89.00%,10.12%,41.77%,408.50M,8.91,-5.20%,-3.75%,14.11,34.86%,11.73,22.65,9.99%,17.30%,220.00,37.48%,-,-,10.00%,40.30%,151.16 - 272.58,36.85%,2.68,209.18,7.70%,22.80%,-2.53%,-0.16,1.01%,2.40,1.60%,54.60%,75.76%,6.39,522,3.10,4.60%,18.90%,57.76,2.39% 2.48%,Yes,0.71,14.30%,14.80%,0.73,266.69,Yes,0.71,Jan 07 AMC,59.40%,96.32K,265.68,2.50,1.60%,4.64%,28.99%,"70,355",-0.38%,large,3640000000.0
wdr,12-18-2020,-,18.10,1.41,3.93%,64.24M,1.23%,1.59B,16.44,1.55,0.00%,60.05M,50.98%,93.30M,-,0.43,-,14.36%,75.05%,1.04B,1.53,-28.80%,-3.57%,5.00,64.43%,11.64,2.19,-3.19%,7.90%,22.14,52.88%,11.91,2.14,-8.40%,12.10%,9.87 - 25.90,52.33%,1.00,16.42,-15.80%,11.50%,-1.66%,1.33,3.93%,2.60,-7.70%,53.80%,158.05%,0.45,1162,2.60,-1.10%,12.40%,82.04,0.69% 0.80%,Yes,0.13,4.10%,9.00%,0.21,25.47,Yes,0.00,Oct 27 BMO,71.10%,1.73M,25.47,3.20,2.33%,28.31%,60.98%,"369,526",0.00%,large,1590000000.0
wea,12-18-2020,-,116.15,0.12,-,11.86M,-0.35%,168.10M,-,-,-,-,1.72%,-,-,-,50.32%,-,9.08%,13.14M,12.79,-,-,0.62,6.06%,13.72,1.03,-,-,-,-3.34%,-,-,-,-,9.05 - 14.89,-3.28%,0.79,-,-,-,-4.84%,-,5.58%,-,-,-,56.57%,0.10,-,-,-2.40%,-,68.70,0.82% 0.66%,No,-,-,-,0.74,14.17,Yes,-,-,-,25.62K,14.17,-,0.65%,3.78%,7.93%,"19,008",0.00%,small,168100000.0
wec,12-18-2020,S&P 500,24.19,3.81,0.10%,315.40M,3.78%,28.79B,22.93,4.01,-25.34%,314.89M,-3.73%,1.20B,3.96,0.73,74.60%,1.15%,-6.33%,7.26B,3.97,7.10%,0.45%,3.09,2.06%,33.13,2.78,6.70%,3.40%,97.85,1.50%,0.04,2197.41,6.11%,11.70%,68.01 - 109.53,-0.22%,2.71,-,6.70%,6.20%,-15.98%,0.12,2.94%,0.40,8.50%,68.40%,35.32%,1.60,7509,0.60,2.70%,23.40%,45.98,1.38% 1.77%,Yes,1.25,14.00%,16.60%,1.01,90.55,Yes,1.11,Nov 03 BMO,65.10%,1.17M,92.03,3.10,0.21%,-5.04%,-1.25%,"1,175,766",1.63%,large,28790000000.0
wei,12-18-2020,-,-,-0.95,-,70.46M,-6.34%,95.10M,-,-,-,35.38M,-23.56%,-67.20M,-,-,0.10%,0.18%,64.20%,368.50M,0.26,-54.50%,-72.87%,0.01,0.00%,3.87,0.34,-,-,2.16,-54.92%,-,-,-,-,0.73 - 5.49,-57.23%,-,-,-,3.90%,-75.77%,-,-,1.60,-,53.80%,82.19%,0.14,6970,1.60,-12.30%,-,41.76,7.52% 7.50%,No,0.09,-779.00%,-,0.09,1.38,Yes,0.00,-,-,5.73M,1.33,4.00,-10.23%,-23.35%,-4.47%,"509,776",-3.62%,small,95100000.0
well,12-18-2020,S&P 500,207.78,0.31,0.17%,417.03M,3.62%,26.47B,105.07,0.62,0.29%,416.61M,1.78%,124.40M,15.98,0.20,92.90%,2.07%,14.53%,4.75B,5.58,31.40%,1.06%,3.18,22.78%,38.63,1.67,-69.90%,3.10%,64.31,-19.37%,3.91,16.51,13.00%,6.50%,24.27 - 89.99,-20.98%,2.44,120.99,4.80%,3.60%,-28.19%,1.03,3.78%,-,8.90%,45.10%,166.25%,1.75,443,-,-18.10%,14.60%,54.53,2.23% 2.82%,Yes,0.86,-889.10%,21.90%,0.43,63.80,Yes,0.86,Oct 28 AMC,117.50%,2.71M,64.62,2.80,0.92%,4.37%,18.84%,"1,154,010",1.29%,large,26470000000.0
wen,12-18-2020,-,47.55,0.46,7.30%,223.91M,-1.39%,4.86B,30.83,0.71,-2.66%,206.53M,-0.95%,105.60M,4.21,0.18,72.50%,2.84%,-4.11%,1.69B,2.88,-69.10%,2.24%,2.54,0.14%,2.33,9.41,24.08%,2.10%,25.09,-1.88%,1.41,15.53,11.28%,21.40%,6.82 - 24.91,-1.31%,0.28,47.41,13.50%,6.70%,-12.00%,1.00,1.28%,1.70,-3.10%,61.80%,221.41%,0.46,13300,1.70,3.30%,13.40%,43.44,1.99% 2.03%,Yes,5.31,-11.00%,6.30%,0.52,21.96,Yes,5.22,Nov 04 BMO,72.30%,2.31M,21.92,2.10,-1.82%,-2.76%,3.76%,"1,203,909",-0.18%,large,4860000000.0
wern,12-18-2020,-,17.39,2.26,0.50%,69.10M,-1.11%,2.72B,12.88,3.05,-14.34%,39.84M,-2.85%,157.00M,1.45,0.78,84.20%,4.90%,-6.77%,2.37B,1.14,2.20%,0.13%,2.53,-7.30%,17.08,2.30,22.87%,7.40%,47.67,7.95%,0.58,67.10,11.97%,13.90%,28.99 - 47.43,7.78%,0.36,35.76,11.90%,12.10%,-17.31%,0.77,0.92%,1.80,2.90%,85.00%,35.29%,0.79,12736,1.80,-4.50%,8.90%,39.60,1.50% 1.77%,Yes,0.15,18.90%,6.60%,0.64,39.45,Yes,0.15,Oct 28 AMC,15.90%,772.13K,39.22,2.40,-1.41%,-2.13%,-5.91%,"497,678",-0.58%,large,2720000000.0
wes,12-18-2020,-,11.46,1.21,51.74%,438.86M,-1.50%,5.80B,5.94,2.33,0.00%,200.88M,5.66%,539.80M,-,0.57,38.60%,1.82%,77.41%,2.85B,2.04,-5.60%,-3.10%,2.11,41.74%,6.09,2.27,100.69%,4.50%,16.00,-31.99%,0.33,42.01,-3.70%,19.00%,2.90 - 22.11,-29.81%,1.24,-,9.40%,10.90%,-37.49%,3.89,8.97%,0.80,14.70%,90.80%,376.55%,0.75,-,0.80,2.00%,29.80%,51.21,3.95% 5.86%,Yes,2.95,105.60%,19.00%,0.66,13.69,Yes,2.78,Nov 09 AMC,103.20%,1.74M,13.82,2.40,-5.39%,13.14%,48.63%,"1,144,118",0.95%,large,5800000000.0
wetf,12-18-2020,-,-,-0.33,0.50%,145.56M,-2.90%,797.42M,21.93,0.24,-0.74%,109.61M,23.56%,-50.20M,-,0.06,69.70%,7.71%,64.62%,255.50M,3.12,-135.90%,-4.41%,9.20,55.98%,1.94,2.76,0.83%,-5.70%,4.41,13.83%,0.65,8.29,9.45%,-16.30%,1.87 - 5.60,10.54%,0.12,-,-17.00%,2.40%,-4.46%,1.76,2.24%,1.90,7.90%,-,186.10%,0.23,211,1.90,-4.60%,1.80%,65.23,3.36% 4.70%,Yes,0.59,-126.20%,-19.70%,0.46,5.32,Yes,0.59,Oct 30 BMO,-,918.19K,5.35,2.70,4.82%,21.20%,49.36%,"425,798",0.47%,small,797420000.0
wex,12-18-2020,-,196.84,1.03,0.10%,44.17M,0.21%,8.96B,25.38,8.02,-60.91%,43.30M,13.63%,45.00M,55.49,1.47,-,3.11%,45.12%,1.60B,5.60,-41.40%,0.11%,3.02,27.33%,47.21,4.31,31.71%,0.60%,185.00,-4.78%,34.55,5.89,3.55%,2.30%,71.12 - 236.51,-2.83%,-,7.80,-15.30%,6.70%,-13.95%,2.10,-,-,16.10%,59.10%,186.18%,6.15,5000,-,-16.90%,13.10%,64.74,2.19% 3.00%,Yes,1.44,-546.80%,2.80%,0.47,201.13,Yes,1.38,Oct 29 BMO,0.00%,445.58K,203.53,2.40,3.98%,17.77%,34.57%,"208,080",1.19%,large,8960000000.0
